Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2014/15,All codes,All admissions,All admissions,Number of admissions,Male,5141482
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,931001
2014/15,C00-D48,All cancers,All cancers,Number of admissions,Male,828031
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,300450
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,522587
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,719952
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47421
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,15583
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21400
2014/15,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3886
2014/15,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,0
2014/15,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,52109
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,10123
2014/15,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,13745
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,14470
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3546
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,25679
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,3131
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,58597
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,105107
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,161239
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,179220
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,22104
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,53512
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9461
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,8571
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,12000
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,17995
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2560
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,70169
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,19373
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,0
2014/15,All codes,All admissions,All admissions,Attributable number,Male,293000
2014/15,C00-D48,All cancers,All cancers,Attributable number,Male,108700
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,73400
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,91300
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,10000
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,40900
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,11100
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,14500
2014/15,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3100
2014/15,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,0
2014/15,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,22100
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3300
2014/15,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,3300
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,3100
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,1800
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,5400
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,2800
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,45600
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,25000
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,27500
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,42600
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,3500
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,9600
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5800
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,2200
